timestamp,title,url,author,tags,thumbnail,name,claimed,mapClass
8/28/2015 18:24:28,Nouaceur Province,https://en.wikipedia.org/wiki/Nouaceur_Province,Nouaceur Province,morocco; nouaceur; grand casablanca; no map,,,,NouaceurProvince
8/28/2015 21:08:34,"NRC regions and locations of nuclear reactors, 2008",https://en.wikipedia.org/wiki/Nuclear_power_in_the_United_States,Nuclear power in the United States,nuclear power; power plants; outdated,https://upload.wikimedia.org/wikipedia/commons/2/2d/NRC_regions_and_plant_locations_2008.jpg,,,"NRCregionsandlocationsofnuclearreactors,2008"
8/31/2015 11:03:27,Nuclear Power Plant Status,https://en.wikipedia.org/wiki/Nuclear_power_in_the_United_States#Economics,Nuclear power in the United States,power; nuclear; usa; power plant,https://upload.wikimedia.org/wikipedia/commons/d/de/US_Nuclear_Power_Plant_Status_9-2013.PNG,,,NuclearPowerPlantStatus
8/22/2015 13:44:38,O Môn District,https://en.wikipedia.org/wiki/%C3%94_M%C3%B4n_District,Ô Môn District,Ô Môn; District; vietnam; asia,https://upload.wikimedia.org/wikipedia/commons/1/11/O_Mon_District.png,,,OMônDistrict
8/28/2015 17:14:28,Old Mission Peninsula AVA,https://en.wikipedia.org/wiki/Old_Mission_Peninsula_AVA,Old Mission Peninsula AVA,no map; wine; michigan; old mission,,,,OldMissionPeninsulaAVA
8/28/2015 18:47:31,Olympic Mountains,https://en.wikipedia.org/wiki/Olympic_Mountains,Olympic Mountains,mountain range; geology; inexact; no map,,,,OlympicMountains
8/22/2015 17:53:20,Oma Nuclear Power Plant,https://en.wikipedia.org/wiki/%C5%8Cma_Nuclear_Power_Plant,Ōma Nuclear Power Plant,Ōma; nuclear; power plant; japan; asia; no map,,,,OmaNuclearPowerPlant
8/28/2015 21:08:20,"Orcas Island, WA",https://en.wikipedia.org/wiki/Orcas_Island,Orcas Island,Orcas Island; island; no map,,Evan Derickson,Yes,"OrcasIsland,WA"
8/22/2015 19:43:53,Park Road Park,"https://en.wikipedia.org/wiki/Park_Road_Park_(Charlotte,_North_Carolina)",Park Road Park,park; charlotte; north carolina; usa; no map,,,,ParkRoadPark
8/30/2015 8:31:12,Pictou County,"https://en.wikipedia.org/wiki/Pictou_County,_Nova_Scotia",Sobeys,Canada; Sobeys; Pictou; no map,,Ted MacKinnon,Yes,PictouCounty
8/22/2015 14:22:03,Poh Ern Shih Temple,https://en.wikipedia.org/wiki/Poh_Ern_Shih_Temple,Poh Ern Shih Temple,china; temple; asia; no map,,,,PohErnShihTemple
8/22/2015 14:20:42,Powiat of Poland,https://en.wikipedia.org/wiki/Powiat,Powiat,powiat; poland; europe,https://upload.wikimedia.org/wikipedia/commons/c/ca/POLSKA_mapa_powiaty2.png,,,PowiatofPoland
8/22/2015 19:24:21,"Prees, Shropshire","https://en.wikipedia.org/wiki/Prees,_Shropshire","Prees, Shropshire",prees; shropshire; england; europe,https://upload.wikimedia.org/wikipedia/commons/3/3b/Shropshire_UK_location_map.svg,,,"Prees,Shropshire"
9/2/2015 18:24:09,Production of Wine by Country,https://en.wikipedia.org/wiki/List_of_wine-producing_regions,List of wine-producing regions,wine; production; US$; 2009; world,https://upload.wikimedia.org/wikipedia/commons/f/f0/World_Wine_Areas.jpg,,,ProductionofWinebyCountry
8/22/2015 17:57:53,"Punta Gorda, Montevideo","https://en.wikipedia.org/wiki/Punta_Gorda,_Montevideo","Punta Gorda, Montevideo",montevideo; uruaguay; south america; ,https://upload.wikimedia.org/wikipedia/commons/b/b5/Punta_Gorda.png,John Vincent,Yes,"PuntaGorda,Montevideo"
8/22/2015 14:24:29,"Raleigh, Mississippi","https://en.wikipedia.org/wiki/Raleigh,_Mississippi","Raleigh, Mississippi",mississippi; usa,https://upload.wikimedia.org/wikipedia/commons/b/bd/Smith_County_Mississippi_Incorporated_and_Unincorporated_areas_Raleigh_Highlighted.svg,,,"Raleigh,Mississippi"
8/22/2015 17:51:22,"Rantowles, Hollywood, South Carolina","https://en.wikipedia.org/wiki/Rantowles,_Hollywood,_South_Carolina","Rantowles, Hollywood, South Carolina",rantowles; hollywood; south carolina; usa; no map,,,,"Rantowles,Hollywood,SouthCarolina"
8/28/2015 18:20:17,Regions of Morocco,https://en.wikipedia.org/wiki/Morocco,Morocco,morocco; regions,https://upload.wikimedia.org/wikipedia/commons/4/44/Morocco_Regions_97-11_numbered.svg,Sherrie Hubble,Yes,RegionsofMorocco
8/22/2015 14:48:43,Results of the Ukrainian independence referendum,"https://en.wikipedia.org/wiki/Ukrainian_independence_referendum,_1991#The_referendum","Ukrainian independence referendum, 1991",ukraine; independence; europe,https://upload.wikimedia.org/wikipedia/commons/0/06/Ukr_Referendum_1991.png,Chris Doscher,Yes,ResultsoftheUkrainianindependencereferendum
8/22/2015 13:28:21,"Riečka, Banská Bystrica District","https://en.wikipedia.org/wiki/Rie%C4%8Dka,_Bansk%C3%A1_Bystrica_District","Riečka, Banská Bystrica District",Riečka; slovakia,https://36.media.tumblr.com/ae71361a465ea923fd1a75b4105fcb51/tumblr_inline_nocwkq6ahz1qhxt4g_540.png,,,"Riečka,BanskáBystricaDistrict"
8/22/2015 19:47:21,"Sabu, Sudan","https://en.wikipedia.org/wiki/Sabu,_Sudan","Sabu, Sudan",Sabu; Sudan; africa; no map,,,,"Sabu,Sudan"
8/28/2015 18:26:59,Safi Province,https://en.wikipedia.org/wiki/Safi_Province,Safi Province,morocco; safi; doukkala; no map,,Amy Rock,Yes,SafiProvince
8/28/2015 12:18:38,Saline Wetlands of Lancaster County NE by category,https://en.wikipedia.org/wiki/Saline_Wetlands_Conservation_Partnership,Saline Wetlands Conservation Partnership,Lancaster County; Wetlands; Saline Wetlands; Conservation ,https://upload.wikimedia.org/wikipedia/commons/b/ba/Lancaster_saline_8x11_200dpi-1-.jpg,,,SalineWetlandsofLancasterCountyNEbycategory
8/28/2015 20:51:54,San Francisco City Hall,https://en.wikipedia.org/wiki/San_Francisco_City_Hall,San Francisco City Hall,San Francisco; SF City Hall; no map,,Roderick Chow,Yes,SanFranciscoCityHall
8/28/2015 19:01:12,"San José, Costa Rica","https://en.wikipedia.org/wiki/San_Jos%C3%A9,_Costa_Rica","San José, Costa Rica",city; costa rica; central america; upgrade,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/San_Jose%2C_Costa_Rica_-_City_map.png/275px-San_Jose%2C_Costa_Rica_-_City_map.png,,,"SanJosé,CostaRica"
8/28/2015 21:06:54,San Juan Island,https://en.wikipedia.org/wiki/San_Juan_Island,San Juan Island,Friday Harbor,https://upload.wikimedia.org/wikipedia/commons/6/6e/USA_Washington_location_map.svg,Evan Derickson,Yes,SanJuanIsland
8/22/2015 14:01:22,Sankhuwasabha District,https://en.wikipedia.org/wiki/Sankhuwasabha_District,Sankhuwasabha District,nepal; asia,https://upload.wikimedia.org/wikipedia/commons/7/73/NepalSankhuwasabhaDistrictmap.png,,,SankhuwasabhaDistrict
8/22/2015 14:00:07,Sankhuwasabha District in Nepal,https://en.wikipedia.org/wiki/Sankhuwasabha_District,Sankhuwasabha District,nepal; asia,https://upload.wikimedia.org/wikipedia/commons/a/ae/Sankhuwasabha_district_location.png,,,SankhuwasabhaDistrictinNepal
8/22/2015 14:06:51,Scarisbrick Hall School,https://en.wikipedia.org/wiki/Scarisbrick_Hall_School,Scarisbrick Hall School,scarisbrick; england; europe; no map,,,,ScarisbrickHallSchool
8/22/2015 14:08:41,Sebauh sub-district in Malaysia,https://en.wikipedia.org/wiki/Sebauh,Sebauh,malaysia; asia,https://upload.wikimedia.org/wikipedia/commons/3/35/Sarawakbintulusebauh.png,,,Sebauhsub-districtinMalaysia
8/28/2015 18:39:15,"Siskiyou Trail from Portland, Oregon, to San Francisco, California",https://en.wikipedia.org/wiki/Siskiyou_Trail,Siskiyou Trail,Historic Trails and Roads in California; California Central Valley; Oregon Willamette Valley; ,https://upload.wikimedia.org/wikipedia/commons/5/56/Siskiyou_Trail.jpg,,,"SiskiyouTrailfromPortland,Oregon,toSanFrancisco,California"
8/22/2015 17:37:40,Slovakian wine regions,https://en.wikipedia.org/wiki/Slovak_wine#Regions,Slovak Wine,slovakia; europe; wine; region,https://upload.wikimedia.org/wikipedia/commons/f/f4/Vinohradnicke_oblasti_Slovenska.png,Monica Lloyd,Yes,Slovakianwineregions
